"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","TOTAL_WEIGHT_KG","TOTAL_COUNT"
"spatulate sculpin","Icelus spatula",21441,0.01,1
"smalldisk snailfish","Careproctus gilberti",22233,0.01,1
NA,"Callogorgia fraseri",44091,0.01,1
"humpy shrimp","Pandalus goniurus",66045,0.01,4
NA,"Argis sp.",66570,0.01,2
"moonsnail","Naticidae",71510,0.01,1
"swollen whelk","Buccinum oedematum",72747,0.01,1
NA,"Myriapora orientalis",95006,0.01,0
"lattice-work bryozoan","Phidolopora pacifica",95015,0.01,0
"dironid nudibranchs","Dironidae",71210,0.009,2
"North Pacific sea star","Leptychaster arcticus",81835,0.009,2
"gray starsnout","Bathyagonus alascanus",20035,0.008,1
NA,"Calcigorgia spiculifera",41701,0.008,0
"elliptical Astarte","Tridonta elliptica",74643,0.008,3
NA,"Ophiopholis sp.",83360,0.008,2
"black specked ribbon worm","Emplectonema sp. (Clark 2006)",92505,0.008,1
"Pacific sergestid","Eusergestes similis",66005,0.007,2
"rusty moonsnail","Cryptonatica russa",71537,0.007,1
"yellowleg pandalid","Pandalus tridens",66033,0.006,2
NA,"Cryptolithodes sp.",69329,0.006,1
"featherstar crinoid","Florometra serratissima",82770,0.006,4
NA,"Paraliparis sp.",22250,0.005,2
"crested bigscale","Poromitra crassiceps",22310,0.005,1
NA,"Bryozoichthys sp.",23863,0.005,1
"sea raspberry","Gersemia sp.",41201,0.005,1
"dock shrimp","Pandalus danae",66025,0.005,1
"circumpolar eualid","Eualus gaimardii",66175,0.005,1
"horned shrimp","Paracrangon echinata",66615,0.005,1
"pea crab","Rathbunixa occidentalis",68072,0.005,1
NA,"Asterias sp.",81741,0.005,1
"lumpsucker unid.","Cyclopteridae",22170,0.004,1
NA,"Mytilus sp.",74065,0.004,1
"Akutan limops","Limopsis akutanica",74481,0.004,2
NA,"Lethasterias sp.",80201,0.004,1
NA,"Cucumaria sp.",85200,0.004,1
NA,"Leucilla nuttingi",91106,0.004,1
"disc-top tunicate","Chelyosoma productum",98331,0.004,1
NA,"Polycheles sp.",69559,0.003,3
NA,"Cadlina modesta",71105,0.003,1
NA,"Macoma sp.",75240,0.003,1
"tubular bryozoan","Tubulipora sp.",95090,0.003,1
"thorny sculpin","Icelus spiniger",21438,0.002,1
"prickleback unid.","Stichaeidae",23800,0.002,6
"scale worm unid.","Polynoidae",56300,0.002,1
"striped sea leech","Notostomum cyclostomum",59111,0.002,2
NA,NA,59120,0.002,1
"euphausiid unid.","Euphausiacea",63500,0.002,11
NA,"Mysidae",64100,0.002,4
"shrimp unid.",NA,66000,0.002,1
"pandalid shrimp unid.","Pandalidae",66019,0.002,1
"shortscale eualid","Eualus suckleyi",66193,0.002,1
"viperfish unid.","Chauliodontinae",21000,0.001,1
NA,"Careproctus sp.",22219,0.001,1
"red and white banded sea nymph","Cheilonereis cyclurus",54030,0.001,1
"thorny scaleworm","Eunoe senta",56313,0.001,1
"spiny lebbeid","Lebbeus groenlandicus",66203,0.001,1
"crisscrossed Yoldia","Yoldia aeolica",74416,0.001,1
"northern Yoldia","Yoldia hyperborea",74420,0.001,4
"stout nutclam","Nuculana pernula",74436,0.001,1
NA,"Megangulus bodegensis",75206,0.001,1
"squid egg unid.","Decapodiformes egg",79002,0.001,1
"crinoid unid.",NA,82750,0.001,1
